Id,SalePrice
1461,124009.6382
1462,168202.1499
1463,186034.1188
1464,194560.8551
1465,189290.2562
1466,172708.8857
1467,172336.5668
1468,168319.8103
1469,187719.8843
1470,123421.7718
1471,177138.6496
1472,99393.76687
1473,93106.7592
1474,147915.077
1475,129446.6703
1476,388350.815
1477,263392.2812
1478,293461.4576
1479,290703.3736
1480,462754.4373
1481,339352.9431
1482,207686.906
1483,165451.9025
1484,166474.3699
1485,164571.8342
1486,192624.6954
1487,429615.6954
1488,233206.4473
1489,203732.398
1490,220842.8345
1491,189083.2373
1492,93883.5457
1493,193383.4142
1494,296340.6848
1495,284129.8159
1496,234770.6149
1497,179814.4658
1498,157952.7773
1499,160759.1867
1500,155063.4802
1501,175983.8163
1502,137793.1318
1503,332620.6156
1504,231590.9274
1505,229984.0201
1506,198306.5767
1507,252360.5742
1508,208991.3953
1509,169707.1776
1510,151189.417
1511,149115.4853
1512,165425.207
1513,157253.0829
1514,160082.5184
1515,189747.5306
1516,145236.5799
1517,165045.8815
1518,114630.88
1519,236843.6159
1520,138081.3801
1521,140448.4706
1522,169813.5426
1523,114340.5934
1524,115388.5875
1525,125548.3574
1526,114420.9331
1527,111070.7919
1528,118748.0547
1529,157653.7517
1530,180249.1544
1531,88517.41322
1532,85454.18814
1533,137288.2934
1534,125404.3038
1535,140112.0228
1536,110693.2164
1537,76455.2369
1538,180766.7412
1539,189792.647
1540,77489.70607
1541,146398.5033
1542,133357.4328
1543,230072.3089
1544,77090.59884
1545,110163.7733
1546,129929.3641
1547,117089.1014
1548,134855.4103
1549,115877.092
1550,145653.8718
1551,99368.8872
1552,142844.8427
1553,180627.2571
1554,113895.2487
1555,171916.6272
1556,71858.26502
1557,107487.9396
1558,101129.2535
1559,87110.65716
1560,134349.1049
1561,148356.0981
1562,124502.1071
1563,122702.3746
1564,157741.9535
1565,144534.3115
1566,240820.0167
1567,78952.91912
1568,232004.8836
1569,148239.4649
1570,137827.9785
1571,121007.9345
1572,147950.1259
1573,226540.8409
1574,116403.135
1575,202480.3012
1576,235237.0113
1577,188329.0555
1578,153985.0497
1579,139864.4233
1580,192214.9719
1581,165470.8684
1582,126821.0703
1583,339751.5151
1584,225615.508
1585,140035.5225
1586,78536.11861
1587,91746.36117
1588,171398.7019
1589,106836.6618
1590,132020.7534
1591,78239.83375
1592,101449.7617
1593,140081.6383
1594,123749.6418
1595,104748.3588
1596,237789.5252
1597,188229.4635
1598,206193.8651
1599,179149.9835
1600,182096.2166
1601,56971.09743
1602,113250.696
1603,86353.00133
1604,274333.274
1605,253061.9707
1606,169298.3394
1607,163479.9705
1608,206628.1763
1609,179904.1666
1610,165378.1261
1611,145577.6597
1612,164098.5737
1613,160929.634
1614,119411.9119
1615,85162.78776
1616,67672.22264
1617,84588.5407
1618,123906.1981
1619,136226.3984
1620,149788.8394
1621,151167.8166
1622,137072.1431
1623,278544.8322
1624,201441.1485
1625,116741.1517
1626,162307.3245
1627,185107.5983
1628,270680.9123
1629,175197.0546
1630,383934.7359
1631,258512.7781
1632,244009.7969
1633,155083.6299
1634,195840.3834
1635,187227.9819
1636,160518.3178
1637,180657.7953
1638,193485.3935
1639,183100.3424
1640,247282.8585
1641,176273.9239
1642,237863.1924
1643,212538.1822
1644,242125.5053
1645,208819.7261
1646,163419.1041
1647,154645.1234
1648,140276.7317
1649,139416.0164
1650,117059.9216
1651,120355.8302
1652,94822.61113
1653,104131.5961
1654,145498.0634
1655,147320.937
1656,150306.2621
1657,148332.3048
1658,144656.6135
1659,132148.8806
1660,154646.3209
1661,402786.1322
1662,406013.8798
1663,382658.5755
1664,436571.9494
1665,311718.3673
1666,282630.5311
1667,340343.559
1668,334069.2282
1669,300531.0457
1670,348027.5757
1671,226982.8479
1672,494542.5781
1673,293904.8392
1674,238057.5962
1675,183722.9767
1676,185320.3137
1677,209976.1913
1678,427170.4975
1679,372875.208
1680,350255.9792
1681,266223.3503
1682,299814.3759
1683,168804.1975
1684,161730.7574
1685,175114.5257
1686,166453.601
1687,160687.604
1688,184917.9284
1689,189749.2821
1690,180943.6733
1691,177593.289
1692,297101.2839
1693,159325.5804
1694,185958.5234
1695,164463.2678
1696,271596.275
1697,162355.4453
1698,366486.4797
1699,331306.3959
1700,239893.8908
1701,270799.997
1702,241754.0124
1703,242932.7785
1704,271582.0293
1705,254848.6015
1706,413723.6049
1707,242200.502
1708,208211.0051
1709,309351.5642
1710,226942.1724
1711,267526.311
1712,273294.6251
1713,256939.5386
1714,219616.7279
1715,216242.111
1716,177864.2471
1717,173517.4401
1718,136791.6785
1719,194124.8632
1720,253112.6569
1721,167928.285
1722,132130.2042
1723,149512.8667
1724,152758.112
1725,242963.4469
1726,193684.5072
1727,158389.6013
1728,162202.757
1729,169162.4228
1730,151266.4906
1731,126536.0366
1732,137660.7159
1733,113751.917
1734,104402.1994
1735,129115.9041
1736,112046.1568
1737,325632.3087
1738,216953.3765
1739,302994.2276
1740,223875.0671
1741,185850.5254
1742,171019.6018
1743,168816.794
1744,307858.3542
1745,220867.8665
1746,180012.0702
